Image,Target
/home/mahmoud/CDIB/data/raw/basophil/BA_931171.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_296311.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_81688.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_112418.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_45632.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_813231.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_723661.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_485601.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_196745.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_274864.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_625461.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_535962.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_49997.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_589260.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_925384.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_799126.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_215988.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_372252.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_556627.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_910152.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_396998.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_439718.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_202924.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_473295.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_66312.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_883452.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_23839.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_266945.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_6162.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_853366.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_124389.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_503349.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_504915.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_726726.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_18821.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_161905.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_783348.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_48862.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_965179.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_305735.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_580588.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_75331.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_661119.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_462426.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_331375.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_490072.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_381452.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_89223.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_995163.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_839500.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_504848.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_208485.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_854946.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_126424.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_790227.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_668105.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_277242.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_191120.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_518773.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_49215.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_746210.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_938817.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_929127.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_309434.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_20201.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_251042.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_831290.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_154572.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_797848.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_395695.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_933664.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_878312.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_166254.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_499861.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_768330.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_199179.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_689200.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_739484.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_318538.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_807787.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_710454.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_27810.jpg,basophil
/home/mahmoud/CDIB/data/raw/basophil/BA_727435.jpg,basophil
